Name,Latitude,Longitude,Earliest age in sample,Latest age in sample,Modern Country,Direct / indirect,Exact Age / Minimum Age / Max Age,Calibrated,Kind,Figurative
"Hathitol, India",23.15224,79.92067,5526,2780,India,Direct,Exact Age,Unknown,Painting,Yes
"Hay Cave, Queensland, Australia",-23.16733,150.490387,2484,1010,Australia,Direct,Exact age,No,Painting,No
"Ignatievskaya Cave, Russia",54.89950,57.78159,8790,6925,Russia,Direct,Exact Age,Unknown,Painting,Yes
"Ingaladdi, willeroo, Northern Territory, Australia",-15.29028,131.57520,7676,7676,Australia,Indirect,Minimum age,Yes,Engraving,N/A
"Jamjori, India",24.51548,87.08116,1634,1720,India,Direct,Exact Age,Unknown,Painting,No
"Jinsha, China ",26.85505,100.22775,5216,5216,China,Indirect,Maximum Age,N/A,Painting,Yes
"Kaalpi site, Western Australia (Near Calvert Ranges)",-23.95000,122.72000,377,308,Australia,Direct,Exact age,Yes,Painting,N/A
"Kaho'olawe, Hawai'i, USA",20.55805,-156.60574,923,0,Hawaii,Indirect,Minimum age,Yes,Painting,Yes
"Kapova cave, Russia",53.04380,57.06514,17870,13930,Russia,Indirect,Unknown,Unknown,Painting,Yes
"Kennedy River, Queensland, Australia",-15.59060,144.03080,1132,1132,Australia,Indirect,Minimum age,Yes,Engraving,Yes
"Kimberley, Australia",-17.34918,125.91521,4300,1350,Australia,Direct,Exact age,Yes,Painting,Yes
"La Garma, Cantabria, Spain",43.15194,-3.89639,16875,16875,Spain,Direct,Exact age,Yes,Paintings,Yes
"La Pileta, Spain",36.69130,-5.26990,24228,24228,Spain,Direct,Exact age,Yes,Paintings,Yes
"La Tête du lion, France",45.77740,4.85521,26760,25997,France,Indirect,Minimum age,Yes,Paintings,N/A
"Labastide, France",43.03555,0.35227,17476,484,France,Direct,Exact age,Yes,Paintings,Yes
"Lapa do Santo, Brazil",-19.47778,-44.03889,10600,10600,Brazil,Yes,Exact age,Yes,Petroglyph,Yes
"Lascaux Cave, France",45.05392,1.16765,22723,18848,France,Indirect,Minimum age,Yes,Paintings,Yes
"Lower Pecos, Texas",31.42291,-103.49323,4290,3865,USA,Direct,Exact Age,Unknown,Painting,N/A
"M23, Calvert Ranges, Western Australia",-23.96667,122.96667,2085,759,Australia,Direct,Exact age,Yes,Painting,N/A
"Malangine Cave, Nene Valley, South Australia",-38.05000,140.69000,6348,5046,Australia,Indirect,Minimum age,Yes,Figure Fluting & Engraving,No
Mámoa do Monte: Dos Marxos,42.64848,-7.94635,6110,5495,Portugal,Direct,Exact age,Yes,Painting,N/A
"Marjar - East Alligator, Northern territory, Australia",-13.09229,132.39377,191,191,Australia,Direct,Exact age,Yes,Beeswax,N/A
"Mennge-ya 1, Northern Territory (near Willeroo)",-15.29028,131.57520,4488,4010,Australia,Indirect,Minimum age,No,Engraving,No
"Messak Plateau, Fezzan, Libya",25.75000,11.83333,6946,5150,Libya,Indirect,N/A,No,Engraving,N/A
"Mickey Springs 31, Hughenden, Queensland, Australia",-20.85000,144.20000,5929,5929,Australia,Unknown,Unknown,Yes,Engraving,No
"Moonface site, Queensland, Australia",-21.50970,140.66790,796,796,Australia,Direct,Exact age,Yes,Painting,Yes
"Moses Cave, Arnhem Land, Northern Territory, Australia",-12.43020,130.88238,274,274,Australia,Direct,Exact age,Yes,Beeswax,No
"Mount Manning, Western Australia",-30.12203,119.74260,586,182,Australia,Indirect,N/A,Yes,Drawing,No
"Mungana Site, Queensland, Australia",-17.11842,144.39899,3644,1177,Australia,Direct,Exact age,Yes,Drawing,No
"Nangalor (Nanguluwur), Kakadu National Park, Northern Territory, Australia",-13.09229,132.39377,5570,776,Australia,Indirect,Minimum Age,Yes,Painting,No
"Nara Inlet, Queensland",-20.15,148.90000,2489,2489,Australia,Unknown,Unknown,Yes,Unknown,N/A
"Natal Drakkenberg, South Africa",-29.46667,29.26667,675,402,South Africa,Indirect,N/A,Yes,Painting,No
"Nawarla Gabarnmang, Jawoyn Country, Arnhem Land Australia",-12.16850,133.83350,27630,27630,Australia,Direct,Exact age,Yes,Painting,N/A
"Nerja, Spain",36.78592,-3.80448,23821,23821,Spain,Indirect,Minimum age,Yes,Drawings and torch rubbings,N/A
"Ngarradj Warde Djobkeng, Northern Territory",-12.30000,132.57000,10083,9171,Australia,Indirect,Minimum age,Yes,Painting,N/A
"Ojo Guareña, Burgos, Spain",43.03434,-3.66452,13377,10950,Spain,Direct,Exact age,Unknown,Paintings,Yes
"Padahlin, Taunggyi District, Shan State, Myanmar",20.76370,96.92091,8515,1750,Myanmar,Indirect,Unknown,Unknown,Painting,Yes
"Painted Shelter, Queensland, Australia",-16.12950,144.12890,2484,2420,Australia,Direct,Exact Age,No,Painting,Yes
"Panaramitee, Flinders Ranges, South Australia",-31.41667,138.75000,46273,3575,Australia,Indirect,Minimum age,No,Engraving,No
"Pech Merle, France",44.50731,1.64408,28727,24700,France,Direct,Exact age,Unknown (Likely no),Painting,Yes 
Pedra Cuberta,43.08955,-8.98461,5775,5620,Spain,Direct,Exact,Yes,Painting,Yes
"Pedra da Moura, Vimianzo, A Coruña, Spain",43.08135,-8.97786,5745,5745,Spain,Direct,Exact age,Yes,Painting,N/A
"Pete's Chase, Queensland",-16.12950,144.12890,2064,310,Australia,Direct,Exact age,Unknown,Painting,Yes 
"Pilbara, Western Australia, Australia",-21.88333,116.76667,4040,2600,Australia,Indirect,Minimum age,Unknown,Petroglyphs,Yes 
"Pomongwe Cave, Zimbabwe",-20.547412,28.51367,5526,4090,Zimbabwe,Direct,Exact age,Unknown,Painting,N/A
"Pondra, Cantabria, Spain",43.26648,-3.42318,22000,22000,Spain,Indirect,Minimum age,Yes,Painting,Yes
