h_long,h_lat,elev_mean
37.1078406096944,26.8818248183239,816.802816901409
37.7840293375257,26.0331174648892,613.029411764706
38.449272687212,25.1832199509915,650.220588235294
39.1036867719693,24.3329501917842,652.573529411765
39.747473082378,23.4827760552252,748.955223880597
40.3810209392208,22.6330305130366,968.373134328358
41.0047469840372,21.7839218859881,1169.44776119403
41.6191737262987,20.9356772778696,1395.22058823529
42.2248168452874,20.088709915126,1379.9552238806
42.8216148693011,19.2429224675614,1590
43.4103976663237,18.3983593314056,1798.46153846154
43.9916126137459,17.5550922236448,1720.27272727273
44.5657002587692,16.7131382197519,1580.015625
45.1330328467034,15.8725126876526,1379.76923076923
45.69413288702,15.0332770990493,1354.49206349206
46.249246266529,14.1953554680877,1244.43548387097
48.4165745732008,10.8609091954799,1010.66666666667
48.9472153849136,10.0304034424096,878.180327868852
49.4741269133397,9.20097002903898,644.161290322581
49.9978009320992,8.37260639404712,338.045454545455
61.8701689361041,-10.601601917414,0
109.107852858561,26.8818248183239,679.746478873239
109.784041586392,26.0331174648892,624.735294117647
110.449281520984,25.1832199509915,477.926470588235
111.103695605741,24.3329501917842,346.426470588235
111.74748191615,23.4827760552252,200.611940298507
112.381029772993,22.6330305130366,135.313432835821
113.004755817809,21.7839218859881,48.2758620689655
113.619185975165,20.9356772778696,0
114.224825679059,20.088709915126,0
119.342980122284,12.5255022820665,2
119.882004991203,11.692607670334,45.8571428571429
120.416590237162,10.8609091954799,37
122.518430690071,7.5451588581777,203.142857142857
123.036500538617,6.71858174454063,37
127.633381774575,-0.696416386419108,129.5625
128.142640679092,-1.51933844171572,343.125
131.748748334427,-7.28929484922714,25.1818181818182
132.27358007025,-8.11603716806477,0
132.801908862929,-8.94359825582914,0
133.333953278516,-9.7721300842293,0
133.870177769876,-10.601601917414,0
134.410828223817,-11.4321682884132,4.8
134.956396413961,-12.2637984613756,35.7948717948718
135.506773057281,-13.0976595448757,70.6153846153846
136.063802304852,-13.9327167652541,22.22
136.626760156623,-14.7689829291157,5.82051282051282
137.196152046592,-15.6063777817376,7.57894736842105
137.772305823839,-16.4449645023697,60.2127659574468
138.355631299715,-17.284667958931,136.338461538462
138.946565606326,-18.1254744910434,87.4769230769231
139.545559536158,-18.9673294571933,152.560606060606
140.152913617534,-19.8104770366436,232.029850746269
140.769461133532,-20.6544493614362,262.184615384615
141.395338687937,-21.4990620164636,272.015151515152
142.03094243172,-22.3441749828476,207.582089552239
142.67669583661,-23.1895440813255,190.909090909091
143.332967732822,-24.0348551231954,208.5
144.000004007165,-24.8795531555874,261.045454545455
144.677859301154,-25.7229039331655,297.985714285714
145.107847030163,-26.8818248183239,268.295774647887
145.121179559423,-27.9242363366202,193.171428571429
145.134962881168,-28.9644485340037,143.225352112676
145.149292618046,-30.0017288726861,123.753246753247
145.164114128545,-31.0356521733913,225.388888888889
145.179441073043,-32.0660442662957,199.054054054054
145.195273451539,-33.0928095287508,130.226666666667
145.211761528195,-34.1159240550945,102.736842105263
145.229137529444,-35.1351897698409,97.5394736842105
145.246827719394,-36.1505554465713,123.207792207792
145.265200928262,-37.1623147834198,313.27027027027
145.284311797559,-38.1705292520892,133.490196078431
145.304201308422,-39.1753217959843,20
145.324842140094,-40.1767846226591,5
145.346452858628,-41.1750440906132,290.204545454545
145.368855879106,-42.1702094828732,438.761904761905
145.393417239361,-43.1618368371432,232.5
145.41770539205,-44.1499637194635,0
253.107850035537,26.8818248183239,2042.6338028169
253.784038763368,26.0331174648892,2317.85294117647
254.449299188527,25.1832199509915,2166.33823529412
255.103685952528,24.3329501917842,2229.32352941176
255.747472262936,23.4827760552252,2161.94029850746
256.381040610347,22.6330305130366,2041.98507462687
257.004773485352,21.7839218859881,1943.58208955224
257.61918998233,20.9356772778696,1839.57352941176
258.224809195657,20.088709915126,1923.01492537313
258.821631125332,19.2429224675614,1411.61194029851
259.410420752544,18.3983593314056,936.323076923077
259.991615209399,17.5550922236448,1183.3
260.565706269517,16.7131382197519,593.21875
289.107864697706,-26.8818248183239,640.791666666667
289.121197226966,-27.9242363366202,622.365853658537
289.134966888333,-28.9644485340037,1387.87272727273
289.149282964833,-30.0017288726861,1671.890625
289.16411813571,-31.0356521733913,1883.17142857143
289.179445080208,-32.0660442662957,1800.28358208955
289.195291119082,-33.0928095287508,1218.02816901408
289.21176553536,-34.1159240550945,1104.15789473684
289.229141536609,-35.1351897698409,1508.13157894737
289.246845386938,-36.1505554465713,1734.18181818182
289.265204935427,-37.1623147834198,1658.13513513514
289.284329465103,-38.1705292520892,1350.15492957746
289.304191655209,-39.1753217959843,1300.79452054795
289.324846147259,-40.1767846226591,978.794520547945
289.346456865793,-41.1750440906132,1138.59210526316
289.368859886271,-42.1702094828732,1035.52631578947
289.393421246526,-43.1618368371432,981.441558441558
289.417709399215,-44.1499637194635,880.175
289.443226985954,-45.1354234129129,739.886363636364
289.469782761447,-46.1183866722207,590.076923076923
289.497731895531,-47.0990447426836,740.79347826087
289.526883142908,-48.0775376431797,796.382978723404
289.557618994173,-49.0540702793839,470.473684210526
289.589748204029,-50.0287997456473,364.153846153846
289.623625942312,-51.0019343627394,223.604395604396
289.659142925996,-51.9736448853896,149.021276595745
289.696708966431,-52.9441088985163,122.919540229885
